ID	Sex	BY
a00001	1	1
a00002	1	1
a00003	1	1
a00004	1	1
a00005	1	1
a00006	1	1
a00007	1	1
a00008	1	1
a00009	1	1
a00010	1	1
a00011	1	1
a00012	1	1
a00013	1	1
a00014	1	1
a00015	1	1
a00016	1	1
a00017	1	1
a00018	1	1
a00019	1	1
a00020	1	1
a00021	1	1
a00022	1	1
a00023	1	1
a00024	1	1
b00001	2	1
b00002	2	1
b00003	2	1
b00004	2	1
b00005	2	1
b00006	2	1
b00007	2	1
b00008	2	1
b00009	2	1
b00010	2	1
b00011	2	1
b00012	2	1
b00013	2	1
b00014	2	1
b00015	2	1
b00016	2	1
a01001	1	2
a01002	1	2
b01003	2	2
b01004	2	2
a01005	1	2
b01006	2	2
b01007	2	2
a01008	1	2
b01009	2	2
a01010	1	2
b01011	2	2
b01012	2	2
b01013	2	2
b01014	2	2
b01015	2	2
a01016	1	2
b01017	2	2
b01018	2	2
b01019	2	2
a01020	1	2
b01021	2	2
a01022	1	2
a01023	1	2
b01024	2	2
a01025	1	2
b01026	2	2
a01027	1	2
b01028	2	2
a01029	1	2
a01030	1	2
a01031	1	2
a01032	1	2
b01033	2	2
b01034	2	2
a01035	1	2
a01036	1	2
b01037	2	2
b01038	2	2
a01039	1	2
b01040	2	2
b01041	2	2
a01042	1	2
a01043	1	2
b01044	2	2
b01045	2	2
a01046	1	2
a01047	1	2
a01048	1	2
b01049	2	2
a01050	1	2
a01051	1	2
b01052	2	2
a01053	1	2
b01054	2	2
b01055	2	2
a01056	1	2
b01057	2	2
b01058	2	2
b01059	2	2
b01060	2	2
b01061	2	2
a01062	1	2
a01063	1	2
b01064	2	2
b01065	2	2
b01066	2	2
b01067	2	2
a01068	1	2
b01069	2	2
a01070	1	2
a01071	1	2
b01072	2	2
a01073	1	2
a01074	1	2
b01075	2	2
a01076	1	2
a01077	1	2
a01078	1	2
b01079	2	2
a01080	1	2
a01081	1	2
b01082	2	2
a01083	1	2
b01084	2	2
b01085	2	2
a01086	1	2
b01087	2	2
b01088	2	2
b01089	2	2
a01090	1	2
b01091	2	2
b01092	2	2
a01093	1	2
b01094	2	2
b01095	2	2
b01096	2	2
a01097	1	2
b01098	2	2
a01099	1	2
b01100	2	2
b01101	2	2
b01102	2	2
a01103	1	2
b01104	2	2
a01105	1	2
b01106	2	2
b01107	2	2
a01108	1	2
b01109	2	2
a01110	1	2
a01111	1	2
a01112	1	2
a01113	1	2
a01114	1	2
b01115	2	2
a01116	1	2
a01117	1	2
a01118	1	2
b01119	2	2
b01120	2	2
b01121	2	2
a01122	1	2
a01123	1	2
b01124	2	2
b01125	2	2
a01126	1	2
b01127	2	2
a01128	1	2
a01129	1	2
a01130	1	2
a01131	1	2
a01132	1	2
b01133	2	2
b01134	2	2
a01135	1	2
b01136	2	2
b01137	2	2
b01138	2	2
a01139	1	2
a01140	1	2
a01141	1	2
a01142	1	2
a01143	1	2
a01144	1	2
b01145	2	2
b01146	2	2
b01147	2	2
a01148	1	2
b01149	2	2
a01150	1	2
b01151	2	2
a01152	1	2
b01153	2	2
a01154	1	2
a01155	1	2
a01156	1	2
a01157	1	2
a01158	1	2
b01159	2	2
b01160	2	2
b01161	2	2
a01162	1	2
a01163	1	2
b01164	2	2
b01165	2	2
a01166	1	2
a01167	1	2
b01168	2	2
a01169	1	2
a01170	1	2
a01171	1	2
b01172	2	2
a01173	1	2
b01174	2	2
b01175	2	2
a01176	1	2
a01177	1	2
b01178	2	2
a01179	1	2
b01180	2	2
a01181	1	2
b01182	2	2
a01183	1	2
b01184	2	2
a01185	1	2
a01186	1	2
b01187	2	2
